S/NO.,Name,HMO ID,Website,Address,Email,Contact Number,Country,Source,Source URL,State,Region,Coverage State,Coverage Type,Services Rendered,Target Customers
11,BONITAS HEALTH MAINTENANCE LIMITED,120.0,https://clearlinehmo.com/,"No. 7 Birabi Street, GRA phase 1, Port Harcourt, Rivers State",info@bonitashmo.org,09164113000,Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Rivers,South South,Rivers,Individual / Family / Corporate,Health insurance; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care; Maternity care,Individuals; Families; SMEs; Corporate Organisations
12,CENTURY MEDICAID SERVICES LIMITED,99.0,https://www.dhmlnigeria.com,"36 OKOROJI STREET, D/LINE, PORT HARCOURT, PORT HARCOURT CITY LGA, RIVERS STATE, Nigeria","info@centurymedicaid.org, centurymedicaid@yahoo.com","08090235044, 09087000193, 09087000192",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Rivers,South South,Rivers,Individual / Family / Corporate / Community / Industrial / Educational,Managed healthcare; Health insurance; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families; Corporate Organisations; Employees; Students; Educational Institutions; Industry Groups
13,CLEARLINE INTERNATIONAL LIMITED,3.0,https://delogmedicalhmo.com/,"290, IKORODU ROAD, ANTHONY, LAGOS",info@clearlinehmo.net clearline_int@yahoo.com,"08076490111, 08076490101, 014482520",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Nationwide – Nigeria,Individual / Family / Corporate,Outpatient care; General and specialist consultation; Teleconsultation; Prescription medicines; Diagnostic and laboratory services; Hospital care; Emergency care,Individuals; Families; SMEs; Corporate Organisations
14,DEFENCE HEALTH MAINTENANCE LIMITED,22.0,https://doheec.com/,"2 HAMINA CLOSE, ABUJA",info@dhmlnigeria.com,"07037921025, 08069305886",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,FCT,North Central,Nationwide – Nigeria,Corporate / Group / Military,Military and defence health insurance; Primary healthcare; Secondary healthcare; Tertiary healthcare; Clinical services; Pharmacy services; Nursing care; Allied medical services; Public health services,Defence Personnel; Defence Employees; Dependants
15,Delog Medical Services Ltd. (HMO),117.0,https://hmo.dot.ai/,"? 369, Borno Way, Alagomeji, Yaba, Lagos",info@delogmedicalhmo.com,08128300972,Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Lagos,Individual / Family / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families; SMEs; Corporate Organisations
16,DOHEEC INTERNATIONAL HEALTHCARE LIMITED HMO,115.0,https://doheec.com/,"2nd Floor, 34/36, Association Avenue, Ilupeju, Lagos",info@doheec.com,"09069431050, 09078945165",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Lagos,Individual / Family / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families; SMEs; Corporate Organisations
17,DOT HMO Ltd.,100.0,http://gnihealthcare.com/,"MJS House, 366 Murtala Mohammed Way (Opposite Polaris Bank), Yaba, Lagos",support@dot.aihelp@dot.ai,07000368466 (calls) 08170369507 (WhatsApp 0nly),Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Nationwide – Nigeria,Individual / Family / Corporate,Clinic visits; Diagnostic services; Prescription medicines; Specialist care; Telemedicine; Wellness and preventive care; Emergency support,Individuals; Families; SMEs; Teams
18,FOUNTAIN HEALTHCARE LIMITED,94.0,https://gorahhmo.com/,"ALL SEASON PLACE, NO 74 ISHERI- OGUNNUSI ROAD, OJUDU-OMOLE, IKEJA LAGOS",info@fountainhealthcareng.com,"0700F0UNTAIN, 08077705100, 08077705200",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Nationwide – Nigeria,Individual / Family / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care; Maternity care,Individuals; Families; SMEs; Corporate Organisations
19,GNI HEALTHCARE LTD,60.0,https://greenbayhmo.com/,"28, AFOLABI AINA STREET, OFF AWOLOWO WAY, IKEJA LAGOS",gnihealthcare@greatnigeriaplc.com,"08057752870, 08163290105 07043051516, 07046251142",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Nationwide – Nigeria,Individual / Family / Corporate,Medical consultation; Specialist care; Laboratory and diagnostic services; Prescription medicines; Maternity care; Eye care; Dental care; Immunization; Hospital admission; Surgery; HIV care; Ambulance services,Individuals; Families; Employees; Corporate Organisations
20,GORAH HEALTHCARE LTD.,112.0,https://www.greenfieldhmo.com/,"? 322A, Ikorodu Road, Ikeja, Lagos",info@gorahhmo.com,"08132783427, 07031870956",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Lagos,Individual / Family / Corporate,Preventive healthcare; Wellness care; Emergency services; Specialist consultation; Maternity care; Hospital and clinic access,Individuals; Families; Students; Senior Citizens; Corporate Organisations; International Clients
21,GREENBAY HEALTHCARE SERVICES LIMITED,43.0,http://www.groominghm.com/,"9, ODUNUGA STREET, OFF OPEBI LINK ROAD,",info@greenbayhmo.com,070047336229,Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Nationwide – Nigeria,Individual / Family / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families; Employers; Businesses; Corporate Organisations
22,GREENFIELD HEALTH MANAGEMENT LTD,78.0,https://hallmarkhmo.com/,"PLOT 14, MARKET GARDEN POCKET LAYOUT, BY ISIADINSO CLOSE, G",info@greenfieldhmo.com hodaccounts@greenfieldhmo.com ezealaelizabeth@greenfieldhmo.com,"09091910003, 09091909993",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,N/A,N/A,Nationwide – Nigeria,Individual / Family / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families; SMEs; Corporate Organisations
23,GROOMING HEALTH MANAGEMENT LIMITED,108.0,https://www.healthassur.com/,"No. 3, Tina Chris Street, Ejigbo, Lagos State",info@groominghm.com,"07080631850, 09087966270",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Lagos,Individual / Corporate / SME,Routine checkups; Specialist consultation; Emergency care; Outpatient care; Inpatient care; Health insurance; Corporate and individual health plans,Individuals; Families; Employees; Corporate Organisations
24,HALLMARK HEALTH SERVICES LIMITED,96.0,https://healthpartnersng.org/,"264 Ikorodu Road, Obanikoro, Lagos, Somolu Local Government Area, Lagos, Nigeria",info@hallmarkhmo.com,"08170920155, 09087792936, 08090918940",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Lagos,Retail / SME / Corporate / International,General consultation; Specialist consultation; Diagnostic investigations; Physiotherapy; Renal dialysis; Surgical care; Telemedicine; Gym access; Mortuary cover; Hospital care,Individuals; Families; Employees; Corporate Organisations
25,HEALTH ASSUR LIMITED,87.0,https://www.hcihealthcare.ng/,"NO.1 RAMAT CRESCENT OGUDU GRA, KOSOFE, LAGOS.",info@healthassur.com,"01-3422321, 08026547348, 0700 HEALTH ASSUR (07004325427787)",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Nationwide – Nigeria,Individual / Family / Business / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care; Maternity care,Individuals; Families; Employees; SMEs; Corporate Organisations
26,Health Partners Limited,35.0,https://healthpartnersng.org/,N/A,hmo@healthpartnersng.org,"08077140844, 08077140855, 08077140688",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,N/A,N/A,Nationwide – Nigeria,Retail / SME / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families; SMEs; Corporate Organisations
27,HEALTHCARE INTERNATIONAL LIMITED,4.0,https://hygeiahmo.com/,"308A, MURITALA MOHAMMED WAY, YABA",info@healthcare-ng.com,"08052099069 (Abuja) 08052099099 (Lagos) 014489820, 08052099094",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Nationwide – Nigeria,Individual / Family / Corporate / International,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care; Maternity care,Individuals; Families; SMEs; Corporate Organisations
28,HEALTHSPRING HMO,122.0,https://healthspringhmo.com/,"? 1, Julius Nyerere Crescent, Asokoro, Abuja",info@healthspringhmo.com,"07047000591, 07047000590",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,FCT,North Central,FCT,Individual / Family,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families
29,HYGEIA HMO LIMITED,1.0,https://integratedhealthcareltd.com/,"2ND FLOOR, BANK OF INDUSTRY BUILDING, 21/22 MARINA","hycare@hygeiahmo.com, nhisdesk@hygeiahmo.com","070049434266, 014488300",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Nationwide – Nigeria,Individual / Family / Senior Citizens / Maternity / SME / Corporate,Outpatient care; Inpatient care; Optical care; Dental care; Chronic disease management; Telemedicine; Physiotherapy; ENT services; Wellness and preventive care; Maternal and child care,Individuals; Families; Senior Citizens; SMEs; Corporate Organisations
30,Infinite X2 Health Maintenance Services,113.0,https://ihmsnigeria.com/,"No. 13, Lafia Road, Adjacent Kaduna Golf Course, Kaduna State","Infinitex2health@gmail.com, info@infinitex2health.net",07066026262,Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Kaduna,North West,Kaduna,Individual / Family / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families; Corporate Organisations
31,INTEGRATED HEALTHCARE,14.0,https://www.ivesmedicare.com/,"19, JOS STREET, AREA 3 GARKI-ABUJA",info@integratedhealthcareltd.com,"08051322662, 08146120236, 08097236759, 09020008294 SMS (and WhatsApp only: 08063206121) Lagos: 08159391310 Awka: 08159391321 Uyo: 08159391334 Kano: 08159391333: Yola: 08159391308 Jos: 08159391311 Ibadan: 08159391324 Minna: 08159391306",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,FCT,North Central,Nationwide – Nigeria,Individual / Family / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families; Corporate Organisations
32,INTERNATIONAL HEALTH MGT. SERVICES,11.0,https://kennediahmo.com/,"IGI HOUSE, 3 GWAMI ST, WUSE ZONE 4,",info@ihmsnigeria.com,"08085861299, 07041446622, 07004467466",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,FCT,North Central,Nationwide – Nigeria,Corporate / Group,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families; Corporate Organisations
33,IVES MEDICARE,69.0,https://leadwayhealth.com/,"4 MOJIDI STREET, OFF TOYIN STREET",info@ivesmedicare.com,"08032639058, 09085187582, 08092165592",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Lagos,Individual / Family / Corporate,Health insurance; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care; Maternity care,Individuals; Families; Corporate Organisations
34,KENNEDIA HMO LIMITED,109.0,https://lifeworthhmo.com/,"14B, Kingsley Emu Street, Lagos, Off Chris Onanuga, Lekki Phase 1",info@kennediahmo.com,"070030306060, 017002018, 09120351385",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Lagos,SME / Corporate / Group,Managed healthcare; Medical consultation; Doctor consultation; Hospital appointments; Provider network access; Health insurance plans; Telemedicine,SMEs; Corporate Organisations; Large Corporates
35,LEADWAY HEALTH LIMITED,90.0,https://maayoithealth.org/,"121/123, FUNSHO WILLIAMS AVENUE, IPONRI, SURULERE, LAGOS.",healthcare@leadway.com,"012801051, 08139862271",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Nationwide – Nigeria,Retail / SME / Corporate / International,Outpatient care; Inpatient care; Optical care; Dental care; Telemedicine; Emergency services; Mental health care; Chronic disease management; Pharmacy services; Home vaccination; Fitness and nutrition services,Individuals; Families; Senior Citizens; SMEs; Small and Large Companies; International Clients
36,LIFE WORTH MEDICARE LTD,79.0,https://marinamedicalhmo.ng/,"13A, BISHOP COKER ROUND ABOUT, ILUPEJU, LAGOS",info@lifeworthhmo.com,08091111760,Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Nationwide – Nigeria,Individual / Family / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care; Maternity care,Individuals; Families; SMEs; Corporate Organisations
37,LIFESAVER HEALTHCARE LIMITED,118.0,https://markfema.com/,"20B, Olutoye Crescent, Afra Estate, Off Adeniyi Jones Avenue, Ikeja, Lagos State",mb@lifesaverhealthcarehmo.com,09123973551,Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Lagos,Individual / Family / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families; SMEs; Corporate Organisations
38,MAAYOIT HEALTH CARE LIMITED,98.0,N/A,"MHL BUILDING OPPOSITE GSS, OLD JEBBA ROAD, ILORIN, KWARA STATE, P.O. BOX 5504, ILORIN, KWARA STATE, ILORIN, ILORIN WEST, KWARA, Nigeria",info@mayooithealth.org,"08058026841, 08174627100",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Kwara,North Central,Kwara,Individual / Family / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care; Maternity care,Individuals; Families; SMEs; Corporate Organisations
39,MARINA MEDICAL SERVICES HMO LIMITED,48.0,https://mbandohmo.com/,"24, MONTGOMERY ROAD, YABA-LAGOS.",info@marinamedicalhmo.ng,"08144814021, 08182318170,08022598259",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Lagos,Individual / Family / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families; SMEs; Corporate Organisations
40,MARKFEMA NIGERIA LTD.,29.0,https://medexia.com/,"4A GURARA STREET, IBRAHIM ABACHA ESTATE",info@markfema.com,"08077456035, 08034935832",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,FCT,North Central,FCT,Individual / Family / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families; Organisations; Companies; Government Bodies
41,MASSLIFE HEALTHCARE LIMITED,103.0,https://masslife.com.ng/,"I. T. F. House (4th Floor), No. 6, Adetokunbo Ademola Crescent, Wuse 2, Abuja",info@masslifehealthcare.com,"234(0)92918962, 234(0)9039887632",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,FCT,North Central,FCT,Individual / Family / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care; Maternity care,Individuals; Families; SMEs; Corporate Organisations; Senior Citizens; Tertiary Students; MSMEs
42,MB & O HEALTHCARE SERVICES LIMITED,110.0,https://www.mbandohmo.com/,"30, Bassie Ogamba Street, Off Adeniran Ogunsanya Street, Surulere, Lagos",info@mbandohmo.com,08139952126,Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Lagos,Individual / Family / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families; SMEs; Corporate Organisations
43,MEDEXIA LIMITED,44.0,https://www.metrohealthhmo.com/,"221, IKORODU ROAD, ILUPEJU LAGOS.",okuribido@medexia.com,"08134224609, 09051991430, 014537588",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Lagos,Individual / Family / Corporate,"Prepaid health plans; Third-party administration; Clinic management; Health audit; Health, safety and environment consultancy; Medical expense administration",Healthcare Organisations; Healthcare Providers; Corporate Organisations
44,MEDICARE ALLIANCE LIMITED,71.0,https://nem-health.com/,"SUITE 9-13, 2ND FLOOR, ADAMU FURA HOUSE",domahealthcare@gmail.com,07065645662 08063545370,Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,FCT,North Central,FCT,Individual / Family / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families; SMEs; Corporate Organisations
45,MEDIPLAN HEALTHCARE LIMITED,5.0,https://mediplanhealthcare.com/,"CAPITAL BUILDING, 332, IKORODU ROAD, IDI-IROKO BUS STOP, MAR",mediplan@mediplanhealthcare.com,"08159093838, 07084068760, 01-4485390, 07066401413, 09036058822",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Nationwide – Nigeria,Corporate / Individual / Family / Diaspora,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care; Maternity care,Individuals; Families; SMEs; Corporate Organisations
46,METROHEALTH HMO LIMITED,77.0,https://www.nonsuchhmo.com/,"26, CATHOLIC MISSION STREET","info@metrohealthhmo.com, nogbodu@metrohealthhmo.com","08090235478, 01-6310038",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Nationwide – Nigeria,Individual / Family / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families; SMEs; Corporate Organisations
47,NEM HEALTH LIMITED,116.0,https://www.novohealthafrica.org/,"New House, 199 Ikorodu Road, Obanikoro, Lagos",info@nem-health.com,020-13300150,Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Nationwide – Nigeria,Individual / Family / SME / Corporate / Senior Citizens / Diaspora,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families; SMEs; Corporate Organisations
48,NNPC-HMO LIMITED,86.0,https://www.oceanichealth.com/,NNPC PENSION FUND COMPLEX,nnpchmo@nnpcgroup.com,"08022200180 08097777689 08058866690 08036950614 09-460-85500, 0803-695-0614, 0809-777-7689",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,N/A,N/A,Nationwide – Nigeria,Corporate / Group,Employee health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,NNPC Employees; NNPC Dependants; Employees of Participating Organisations
49,NONSUCH MEDICARE LIMITED,51.0,https://peramarehmo.ng/,"PLOT 1, ABIMBOLA ESTATE LAFIA HOSPITAL COMPLEX, APATA-IBADAN",nonsuchmedicare@gmail.com,"08078392043, 08078391607, 08097541194",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Oyo,South West,Oyo,Corporate / TISHIP / Community / NHIA,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care; Maternity care,Individuals; Families; SMEs; Corporate Organisations
50,NOOR HEALTH LTD.,114.0,https://www.noorhealth.ng/,"? 168, Awolowo Road, Ikoyi, Lagos State. ? 170, Gbagada Express Way, Lagos State",info@noorhealth.ng,09048485050,Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Lagos,Individual / Family / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families; SMEs; Corporate Organisations
51,NOVO HEALTH AFRICA LIMITED,74.0,https://www.phmlnigeria.com/,"PLOT 10A AKIOGUN ROAD, ONIRU LEKKI LAGOS STATE",info@novohealthafrica.org,"09092139552, 07037602736, 09082914217",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Nationwide – Nigeria,Individual / Family / Corporate,Quality healthcare; Health insurance plans; Community health project management; Healthcare financing and administration; Health system support; Retail health plans; Geriatric care; Corporate health plans,Individuals; Families; Employers; Corporate Organisations; Government Organisations; Communities
52,OCEANIC HEALTH MANAGEMENT LIMITED,39.0,https://precioushmo.com/,"PLOT 226, AWOLOWO ROAD IKOYI, LAGOS / NEXIM HOUSE CBD, ABUJA",hmo@oceanichealthng.com,"016330300, 012806399,08085897999",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos / FCT,N/A,Lagos / FCT,Individual / Family / Corporate,Health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Individuals; Families; SMEs; Corporate Organisations
53,PERAMARE HEALTH MANAGEMENT COMPANY LIMITED,105.0,https://prepaidmedicareng.com/,"Hall 1, 6th Floor, Tsukunde House, Opposite World Trade Centre, CBD, Abuja",hmo@peramare.ng,09128007005,Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,FCT,North Central,FCT,Individual / Family / Corporate,Emergency care; Outpatient care; Diagnostic services; Prescription medicines; Physiotherapy; Advanced investigations; Inpatient care; Surgery; Maternity care; Dental care; Eye care; Child welfare; Immunization; Mental health therapy; Annual medical checks; Home healthcare; Gym and spa access; Teleconsultation,Individuals; Families; SMEs; Corporate Organisations
54,PHILLIPS HEALTH MANAGEMENT SERVICES LIMITED,88.0,https://phillipshmo.net/,"70B LANRE AWOLOKUN STREET, GBAGADA PHASE 2 GBAGADA KOSOFE, LAGOS.",info@philipshmo.net,016339122-3,Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,Lagos,South West,Lagos,Individual / Family / Corporate,Health insurance; Outpatient care; Inpatient care; Specialist care; Surgical care; Pre-employment screening; Annual medical checkups; Hospital provider network,Individuals; Families; Employees; Corporate Organisations
55,POLICE HEALTH MAINTENANCE LIMITED,73.0,https://prohealthhmo.com/,"517, SYLVESTER UGOR CRESCENT,",info@phlnigeria.com,"08132529114, 08174210057, 090552293969",Nigeria,NHIA,https://www.nhia.gov.ng/hmo/,FCT,North Central,Nationwide – Nigeria,Corporate / Group / Police,Police personnel health insurance; Managed healthcare; Outpatient care; Inpatient care; Specialist care; Diagnostic services; Prescription medicines; Emergency care,Police Personnel; Police Employees; Dependants
